date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
10/08/2021,-9-37-47-48-49-,-2-7-,47,9,48,49,37,2,7
06/08/2021,-7-14-21-26-32-,-4-12-,32,21,7,26,14,12,4
03/08/2021,-17-21-23-45-46-,-7-11-,46,23,45,21,17,7,11
30/07/2021,-10-23-33-35-37-,-5-10-,23,10,35,33,37,5,10
27/07/2021,-5-9-19-21-25-,-10-12-,19,21,25,5,9,12,10
23/07/2021,-23-24-26-34-50-,-2-4-,34,50,26,23,24,4,2
20/07/2021,-3-12-19-41-48-,-6-9-,19,48,3,41,12,6,9
16/07/2021,-5-16-42-47-49-,-3-11-,47,5,16,42,49,3,11
13/07/2021,-5-6-8-11-22-,-3-4-,22,11,6,8,5,3,4
09/07/2021,-6-19-36-37-49-,-4-11-,37,19,6,36,49,11,4
06/07/2021,-2-5-21-27-42-,-9-11-,2,42,5,27,21,9,11
02/07/2021,-9-14-29-38-49-,-7-10-,49,29,38,9,14,7,10
29/06/2021,-6-12-20-24-48-,-5-6-,6,12,24,20,48,6,5
25/06/2021,-1-29-30-33-36-,-3-12-,33,29,36,1,30,12,3
22/06/2021,-6-24-26-27-41-,-3-8-,27,24,26,6,41,8,3
18/06/2021,-11-20-27-30-41-,-3-5-,27,20,41,11,30,3,5
15/06/2021,-11-21-26-30-31-,-2-3-,30,31,11,26,21,2,3
11/06/2021,-9-17-21-33-39-,-7-11-,17,33,9,21,39,7,11
08/06/2021,-2-11-26-36-47-,-7-9-,47,26,2,36,11,9,7
04/06/2021,-7-20-36-40-46-,-2-4-,40,20,36,46,7,2,4
01/06/2021,-3-10-26-35-44-,-6-7-,35,10,44,3,26,7,6
28/05/2021,-11-13-16-34-40-,-1-12-,16,40,13,11,34,1,12
25/05/2021,-1-21-26-30-38-,-2-8-,38,21,26,1,30,8,2
21/05/2021,-2-9-13-15-35-,-3-10-,9,13,35,2,15,10,3
18/05/2021,-5-13-38-39-40-,-4-12-,13,39,40,38,5,4,12
14/05/2021,-6-16-18-29-38-,-6-11-,6,38,29,16,18,6,11
11/05/2021,-14-25-34-43-46-,-5-6-,14,46,43,34,25,6,5
07/05/2021,-14-22-33-38-47-,-8-9-,33,38,47,22,14,9,8
04/05/2021,-3-10-13-28-46-,-4-11-,46,13,10,28,3,11,4
30/04/2021,-1-16-24-28-46-,-2-11-,1,28,24,46,16,11,2
27/04/2021,-13-14-24-35-49-,-1-10-,13,49,14,24,35,1,10
23/04/2021,-3-14-15-19-29-,-2-8-,29,19,15,3,14,2,8
20/04/2021,-5-17-28-41-46-,-10-11-,28,46,17,5,41,11,10
16/04/2021,-6-11-29-40-48-,-5-9-,29,11,40,48,6,9,5
13/04/2021,-16-20-31-47-50-,-2-8-,47,16,31,50,20,8,2
09/04/2021,-2-8-32-35-44-,-8-11-,44,8,35,32,2,8,11
06/04/2021,-2-21-37-38-50-,-7-8-,50,21,37,38,2,8,7
02/04/2021,-4-21-34-40-47-,-2-5-,21,47,4,40,34,2,5
30/03/2021,-24-27-28-29-42-,-4-8-,42,24,29,28,27,8,4
26/03/2021,-10-12-37-49-50-,-3-8-,49,12,50,10,37,8,3
23/03/2021,-2-26-29-36-49-,-3-9-,2,26,29,36,49,3,9
19/03/2021,-3-9-35-43-44-,-1-10-,35,44,43,9,3,10,1
16/03/2021,-23-25-32-35-47-,-2-6-,32,25,23,47,35,2,6
12/03/2021,-4-6-9-11-44-,-10-11-,11,4,6,44,9,10,11
09/03/2021,-1-16-21-32-33-,-11-12-,16,21,33,32,1,11,12
05/03/2021,-4-5-39-46-48-,-7-10-,4,46,5,39,48,7,10
02/03/2021,-2-19-24-26-49-,-6-7-,24,49,19,26,2,6,7
26/02/2021,-6-12-22-29-33-,-6-11-,6,12,22,29,33,11,6
23/02/2021,-9-18-30-39-45-,-1-3-,30,9,39,18,45,3,1
19/02/2021,-4-12-25-46-48-,-7-12-,25,48,4,46,12,12,7
16/02/2021,-5-9-25-29-30-,-6-7-,30,25,29,9,5,6,7
12/02/2021,-7-23-30-32-36-,-8-12-,32,7,36,30,23,12,8
09/02/2021,-5-10-24-31-37-,-9-10-,24,5,31,10,37,9,10
05/02/2021,-12-19-37-44-45-,-2-6-,45,12,37,19,44,6,2
02/02/2021,-18-20-35-38-48-,-9-12-,38,18,48,20,35,9,12
29/01/2021,-1-5-27-36-42-,-1-6-,27,36,5,42,1,6,1
26/01/2021,-5-7-25-37-40-,-2-8-,7,37,25,40,5,2,8
22/01/2021,-8-16-42-44-47-,-6-7-,16,47,42,8,44,7,6
19/01/2021,-25-27-31-35-43-,-5-6-,25,35,31,27,43,5,6
15/01/2021,-4-10-27-38-40-,-3-11-,27,10,4,40,38,11,3
12/01/2021,-2-10-18-34-35-,-6-9-,10,34,2,35,18,6,9
08/01/2021,-18-23-37-41-42-,-4-6-,42,23,37,41,18,4,6
05/01/2021,-12-34-37-38-42-,-1-3-,37,42,12,34,38,3,1
01/01/2021,-16-28-32-44-48-,-1-9-,32,16,48,44,28,1,9
29/12/2020,-7-32-39-40-45-,-3-8-,7,40,39,45,32,8,3
25/12/2020,-16-21-27-30-32-,-3-5-,16,21,27,30,32,3,5
22/12/2020,-2-10-16-42-50-,-4-11-,42,10,50,2,16,11,4
18/12/2020,-2-3-13-17-21-,-7-8-,2,21,17,3,13,7,8
15/12/2020,-9-13-21-29-35-,-1-2-,21,9,35,13,29,2,1
11/12/2020,-6-9-13-24-41-,-3-12-,41,13,24,9,6,3,12
08/12/2020,-1-4-21-24-46-,-2-12-,1,46,21,4,24,2,12
04/12/2020,-14-20-27-34-38-,-1-11-,14,38,20,27,34,1,11
01/12/2020,-14-20-29-47-49-,-4-12-,29,49,20,14,47,12,4
27/11/2020,-2-5-8-14-16-,-8-9-,8,14,16,5,2,9,8
24/11/2020,-25-33-38-42-50-,-8-12-,50,33,38,42,25,12,8
20/11/2020,-28-29-39-48-50-,-5-7-,28,50,48,39,29,5,7
17/11/2020,-16-19-25-30-44-,-2-6-,30,25,44,19,16,6,2
13/11/2020,-1-5-17-28-31-,-1-10-,31,17,1,28,5,1,10
10/11/2020,-3-19-29-32-38-,-5-12-,19,3,38,32,29,12,5
06/11/2020,-7-12-37-40-50-,-1-2-,12,37,7,50,40,1,2
03/11/2020,-5-7-18-20-30-,-6-7-,5,7,18,20,30,7,6
30/10/2020,-12-16-20-21-28-,-3-9-,21,16,20,12,28,9,3
27/10/2020,-13-15-28-32-44-,-3-12-,13,15,28,44,32,12,3
23/10/2020,-10-15-19-21-23-,-3-12-,19,23,10,21,15,3,12
20/10/2020,-5-6-15-37-42-,-3-4-,15,5,42,37,6,4,3
16/10/2020,-15-33-38-40-50-,-3-6-,15,40,38,33,50,6,3
13/10/2020,-5-14-38-41-46-,-1-10-,5,41,46,38,14,10,1
09/10/2020,-11-15-35-41-50-,-5-8-,15,11,35,50,41,8,5
06/10/2020,-4-21-36-41-47-,-9-11-,41,36,4,21,47,11,9
02/10/2020,-6-12-15-40-45-,-3-9-,15,45,12,6,40,9,3
29/09/2020,-4-14-16-41-44-,-11-12-,16,14,4,44,41,11,12
25/09/2020,-19-23-34-37-45-,-1-7-,34,45,19,23,37,1,7
22/09/2020,-16-25-28-39-40-,-1-6-,28,39,25,40,16,1,6
18/09/2020,-2-10-19-25-45-,-1-7-,25,45,19,2,10,1,7
15/09/2020,-16-20-25-30-38-,-6-8-,38,25,30,16,20,8,6
11/09/2020,-34-38-42-43-45-,-9-12-,34,38,45,43,42,12,9
08/09/2020,-2-9-31-35-41-,-9-12-,9,35,2,41,31,12,9
04/09/2020,-6-22-29-40-43-,-4-7-,6,29,43,40,22,7,4
01/09/2020,-4-8-10-33-46-,-8-11-,46,8,4,33,10,8,11
28/08/2020,-7-12-16-17-31-,-7-9-,31,16,17,7,12,9,7
25/08/2020,-7-18-30-37-39-,-8-10-,18,37,39,30,7,10,8
21/08/2020,-10-15-35-44-50-,-3-5-,10,35,50,15,44,5,3
18/08/2020,-6-12-17-34-42-,-5-12-,12,34,42,17,6,12,5
14/08/2020,-9-10-19-42-49-,-4-12-,49,10,42,9,19,4,12
11/08/2020,-8-13-14-42-50-,-3-9-,14,13,50,8,42,3,9
07/08/2020,-5-20-21-36-41-,-6-11-,36,20,5,41,21,11,6
04/08/2020,-1-2-5-15-42-,-5-8-,42,2,5,1,15,8,5
31/07/2020,-21-24-30-46-49-,-2-5-,30,46,24,21,49,2,5
28/07/2020,-9-13-15-17-34-,-2-7-,34,17,13,9,15,7,2
24/07/2020,-8-9-27-28-50-,-4-12-,8,28,50,27,9,12,4
21/07/2020,-14-15-24-29-42-,-2-4-,29,15,42,14,24,2,4
17/07/2020,-7-15-27-41-43-,-7-9-,7,27,41,15,43,7,9
14/07/2020,-11-22-30-37-47-,-9-10-,30,22,37,11,47,9,10
10/07/2020,-15-17-23-30-38-,-2-7-,30,38,15,17,23,2,7
07/07/2020,-12-16-23-33-41-,-8-10-,41,33,23,12,16,8,10
03/07/2020,-4-16-27-37-39-,-3-6-,27,4,16,39,37,3,6
30/06/2020,-1-6-11-28-42-,-2-10-,11,42,1,28,6,2,10
26/06/2020,-1-10-12-21-26-,-5-11-,12,26,21,1,10,5,11
23/06/2020,-2-12-19-46-49-,-1-8-,19,46,49,12,2,8,1
19/06/2020,-5-14-19-24-43-,-3-11-,14,5,24,43,19,3,11
16/06/2020,-4-9-11-17-39-,-2-10-,39,9,11,4,17,2,10
12/06/2020,-2-24-39-45-46-,-4-8-,24,39,46,2,45,4,8
09/06/2020,-5-15-27-36-46-,-2-8-,46,36,27,5,15,8,2
05/06/2020,-5-11-17-24-37-,-3-6-,24,11,37,17,5,6,3
02/06/2020,-10-12-22-26-49-,-7-11-,49,22,12,26,10,11,7
