date_de_tirage,combinaison_gagnante_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
2011-02-26,10-24-26-35-48+1,35,24,10,26,48,1
2011-02-28,17-20-31-40-49+6,20,49,40,17,31,6
2011-03-02,2-3-20-22-40+7,20,22,40,2,3,7
2011-03-05,11-27-31-44-45+2,11,45,44,27,31,2
2011-03-07,7-9-17-23-38+5,7,38,23,9,17,5
2011-03-09,3-9-15-29-43+8,9,43,3,29,15,8
2011-03-12,15-16-22-33-34+9,15,34,22,33,16,9
2011-03-14,27-32-34-36-38+7,32,38,36,34,27,7
2011-03-16,7-14-20-23-32+4,23,20,32,7,14,4
2011-03-19,1-10-11-23-26+8,26,10,11,23,1,8
2011-03-21,3-23-28-31-40+1,28,23,3,40,31,1
2011-03-23,4-10-13-21-24+5,13,4,24,21,10,5
2011-03-26,4-17-26-30-34+9,17,26,34,4,30,9
2011-03-28,10-15-16-43-46+1,15,10,16,46,43,1
2011-03-30,15-23-27-29-43+10,15,23,27,43,29,10
2011-04-02,5-7-24-35-46+3,5,24,7,46,35,3
2011-04-04,10-12-13-23-37+7,12,23,37,13,10,7
2011-04-06,1-12-19-32-44+3,12,19,1,32,44,3
2011-04-09,6-20-22-31-41+8,6,20,31,22,41,8
2011-04-11,3-13-22-32-47+6,13,47,22,3,32,6
2011-04-13,6-23-33-38-43+1,38,6,33,43,23,1
2011-04-16,6-17-24-35-47+8,17,35,24,47,6,8
2011-04-18,6-7-10-21-22+5,6,10,22,7,21,5
2011-04-20,15-17-18-33-41+9,15,41,18,17,33,9
2011-04-23,8-21-28-32-40+9,40,21,28,32,8,9
2011-04-25,2-10-18-21-34+2,18,2,21,34,10,2
2011-04-27,5-14-23-26-28+6,5,26,14,28,23,6
2011-04-30,2-8-9-42-49+3,8,49,42,9,2,3
2011-05-02,1-4-23-25-40+2,25,23,4,1,40,2
2011-05-04,7-11-13-29-44+2,44,29,11,7,13,2
2011-05-07,3-28-37-38-42+8,42,28,37,38,3,8
2011-05-09,3-13-22-26-48+7,13,48,3,26,22,7
2011-05-11,14-26-28-38-45+5,45,14,26,28,38,5
2011-05-14,3-31-35-38-42+8,38,31,35,42,3,8
2011-05-16,9-11-41-43-46+8,41,43,9,11,46,8
2011-05-18,16-17-23-27-47+1,27,23,16,17,47,1
2011-05-21,5-14-15-27-35+10,27,15,35,5,14,10
2011-05-23,15-19-29-33-38+3,15,29,38,19,33,3
2011-05-25,14-27-34-38-45+3,14,45,34,27,38,3
2011-05-28,1-2-3-5-43+9,2,5,3,1,43,9
2011-05-30,14-20-21-22-47+9,14,22,47,20,21,9
2011-06-01,25-26-30-32-45+5,30,45,32,25,26,5
2011-06-04,3-4-15-27-35+2,35,4,27,15,3,2
2011-06-06,10-13-22-30-45+1,10,30,45,22,13,1
2011-06-08,11-16-20-24-40+5,20,16,40,11,24,5
2011-06-11,5-32-37-39-44+5,39,32,44,37,5,5
2011-06-13,3-17-18-22-28+6,22,3,18,17,28,6
2011-06-15,9-36-37-41-47+8,47,41,9,37,36,8
2011-06-18,9-12-33-43-46+10,9,12,43,46,33,10
2011-06-20,2-8-23-27-36+9,27,2,23,8,36,9
2011-06-22,21-22-26-28-33+5,33,21,26,28,22,5
2011-06-25,6-10-17-39-43+3,39,43,10,17,6,3
2011-06-27,5-12-14-20-43+3,43,5,14,20,12,3
2011-06-29,1-11-18-37-38+4,38,11,37,1,18,4
2011-07-02,1-7-11-26-49+5,49,11,26,1,7,5
2011-07-04,14-25-31-37-46+4,14,46,31,25,37,4
2011-07-06,3-9-10-24-33+6,9,33,10,24,3,6
2011-07-09,4-15-31-44-45+6,15,4,31,45,44,6
2011-07-11,7-23-43-47-48+9,7,43,23,48,47,9
2011-07-13,4-12-16-41-46+6,4,46,41,12,16,6
2011-07-16,18-27-35-37-42+3,27,35,42,18,37,3
2011-07-18,5-19-26-38-47+7,19,5,38,47,26,7
2011-07-20,6-18-23-26-45+6,26,45,18,23,6,6
2011-07-23,13-18-32-43-46+5,43,32,18,13,46,5
2011-07-25,3-11-22-38-41+7,38,22,3,11,41,7
2011-07-27,4-5-6-7-11+10,6,11,7,5,4,10
2011-07-30,8-12-20-41-46+1,8,41,20,46,12,1
2011-08-01,10-25-32-37-43+3,32,37,43,10,25,3
2011-08-03,4-5-17-19-20+10,20,4,19,17,5,10
