date_de_tirage,combinaison_gagnante_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
22/04/2020,28-30-40-41-43+7,28,30,43,40,41,7
20/04/2020,5-7-9-37-41+6,37,5,9,7,41,6
18/04/2020,1-27-33-45-47+8,45,1,33,47,27,8
15/04/2020,1-3-16-31-48+6,16,1,31,48,3,6
13/04/2020,1-17-19-23-42+9,42,1,19,23,17,9
11/04/2020,1-8-41-43-48+7,8,43,1,48,41,7
08/04/2020,6-9-16-19-26+9,16,9,19,26,6,9
06/04/2020,7-18-23-29-35+4,23,29,18,35,7,4
04/04/2020,2-35-39-40-42+9,40,2,35,39,42,9
01/04/2020,3-28-41-42-48+6,41,48,42,28,3,6
30/03/2020,12-17-21-23-37+7,21,37,12,17,23,7
28/03/2020,22-23-26-32-35+5,35,23,26,32,22,5
25/03/2020,24-32-34-40-45+1,40,45,24,32,34,1
23/03/2020,5-21-28-48-49+2,28,49,5,48,21,2
21/03/2020,7-8-16-37-42+8,16,37,8,7,42,8
18/03/2020,10-28-29-46-48+9,48,10,46,28,29,9
16/03/2020,4-16-23-40-44+3,44,16,4,40,23,3
14/03/2020,28-31-38-41-43+10,28,41,38,31,43,10
