date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance_1,numero_chance_2
2018-02-09,-22-31-36-38-44-,-1-11-,38,22,31,44,36,11,1
2018-02-13,-10-13-17-21-44-,-1-10-,13,44,10,21,17,10,1
2018-02-16,-10-12-23-32-50-,-4-10-,23,32,50,12,10,10,4
2018-02-20,-6-14-19-25-29-,-5-11-,6,25,14,19,29,11,5
2018-02-23,-10-17-18-28-47-,-3-7-,18,17,28,47,10,3,7
2018-02-27,-3-31-41-48-50-,-8-11-,48,31,3,41,50,11,8
2018-03-02,-2-7-34-45-48-,-1-12-,2,7,34,48,45,1,12
2018-03-06,-15-20-26-31-44-,-2-9-,26,44,20,31,15,2,9
2018-03-09,-9-14-21-32-44-,-1-12-,44,9,14,21,32,12,1
2018-03-13,-9-11-13-33-49-,-6-12-,11,9,13,33,49,12,6
2018-03-16,-4-17-24-27-31-,-10-11-,31,4,27,24,17,11,10
2018-03-20,-26-29-37-39-44-,-9-11-,44,39,29,26,37,9,11
2018-03-23,-5-7-11-46-50-,-8-11-,46,5,50,7,11,11,8
2018-03-27,-17-20-23-40-46-,-9-10-,46,40,20,23,17,9,10
2018-03-30,-12-17-28-35-47-,-7-11-,35,47,28,17,12,7,11
2018-04-03,-3-8-16-40-43-,-5-8-,43,3,40,16,8,8,5
2018-04-06,-1-29-33-45-47-,-4-8-,45,47,29,33,1,4,8
2018-04-10,-14-27-39-46-48-,-11-12-,48,14,39,46,27,11,12
2018-04-13,-5-25-34-48-50-,-6-7-,48,50,34,25,5,7,6
2018-04-17,-15-27-33-39-50-,-4-6-,39,15,33,27,50,6,4
2018-04-20,-3-16-25-39-44-,-7-11-,44,39,3,25,16,11,7
2018-04-24,-20-23-28-30-44-,-3-7-,28,44,30,23,20,3,7
2018-04-27,-12-24-40-41-46-,-5-12-,24,40,12,41,46,5,12
2018-05-01,-6-15-17-42-48-,-4-6-,48,42,15,17,6,4,6
2018-05-04,-6-12-23-39-45-,-9-12-,23,6,12,45,39,12,9
2018-05-08,-17-25-35-39-44-,-2-5-,17,35,25,39,44,5,2
2018-05-11,-3-22-34-49-50-,-8-11-,22,34,3,50,49,11,8
2018-05-15,-4-16-20-31-39-,-2-12-,20,16,4,31,39,2,12
2018-05-18,-5-8-10-13-31-,-3-6-,8,31,5,10,13,6,3
2018-05-22,-1-11-37-41-48-,-8-12-,48,11,1,37,41,8,12
2018-05-25,-13-15-16-28-41-,-4-5-,13,16,15,41,28,4,5
2018-05-29,-6-11-20-38-43-,-2-4-,20,43,6,38,11,4,2
2018-06-01,-17-18-24-29-40-,-4-5-,29,17,40,24,18,4,5
2018-06-05,-9-15-22-39-46-,-4-5-,39,46,9,22,15,5,4
2018-06-08,-8-19-32-43-46-,-2-8-,43,46,8,32,19,8,2
2018-06-12,-7-21-23-36-38-,-6-8-,36,38,23,21,7,6,8
2018-06-15,-23-26-33-38-49-,-1-12-,26,23,49,33,38,1,12
2018-06-19,-7-19-26-42-50-,-4-9-,26,7,19,50,42,9,4
2018-06-22,-14-25-39-41-44-,-2-8-,44,39,41,14,25,8,2
2018-06-26,-15-16-20-34-50-,-4-7-,20,34,16,15,50,7,4
2018-06-29,-15-21-23-40-48-,-3-12-,15,21,40,23,48,3,12
2018-07-03,-1-12-15-29-48-,-3-5-,15,29,12,48,1,5,3
2018-07-06,-8-30-33-38-48-,-2-10-,30,8,48,33,38,10,2
2018-07-10,-3-8-26-33-45-,-7-10-,3,33,26,8,45,10,7
2018-07-13,-1-4-14-21-49-,-2-12-,49,14,4,1,21,2,12
2018-07-17,-4-6-27-48-50-,-1-11-,4,50,6,27,48,1,11
2018-07-20,-2-15-40-43-46-,-3-6-,15,2,43,40,46,3,6
2018-07-24,-2-4-23-39-40-,-3-9-,40,23,2,4,39,3,9
2018-07-27,-11-17-22-23-41-,-6-11-,17,23,11,22,41,11,6
2018-07-31,-20-25-34-42-45-,-6-11-,25,34,20,42,45,6,11
2018-08-03,-7-26-36-38-43-,-6-12-,26,38,36,43,7,12,6
2018-08-07,-16-28-29-30-36-,-8-10-,30,29,28,36,16,10,8
2018-08-10,-18-20-36-43-44-,-3-9-,43,44,20,18,36,9,3
2018-08-14,-1-15-18-25-31-,-9-11-,31,1,15,25,18,9,11
2018-08-17,-2-15-18-24-43-,-8-12-,18,24,2,43,15,8,12
2018-08-21,-16-23-42-43-49-,-10-12-,43,16,49,23,42,12,10
2018-08-24,-3-14-31-36-50-,-1-12-,31,36,50,14,3,12,1
2018-08-28,-4-16-32-42-46-,-8-12-,42,46,4,16,32,12,8
2018-08-31,-4-30-31-38-42-,-4-6-,4,42,30,38,31,4,6
2018-09-04,-5-14-28-30-47-,-4-11-,47,5,28,30,14,11,4
2018-09-07,-4-23-27-31-50-,-1-8-,50,31,27,4,23,1,8
2018-09-11,-9-18-32-38-46-,-2-3-,32,18,9,38,46,2,3
2018-09-14,-1-3-33-40-45-,-3-4-,45,40,33,1,3,4,3
2018-09-18,-3-8-10-32-45-,-4-12-,10,32,45,8,3,4,12
2018-09-21,-5-7-21-25-37-,-3-4-,5,7,37,25,21,3,4
2018-09-25,-6-15-20-30-38-,-4-7-,38,6,20,30,15,4,7
2018-09-28,-2-4-8-27-50-,-2-9-,4,8,50,2,27,2,9
2018-10-02,-7-17-29-37-45-,-3-11-,45,29,37,7,17,11,3
2018-10-05,-8-16-24-26-35-,-3-11-,16,8,26,35,24,11,3
2018-10-09,-3-12-36-44-45-,-8-11-,3,45,44,12,36,11,8
2018-10-12,-4-9-12-31-43-,-5-8-,31,4,12,43,9,8,5
2018-10-16,-15-28-37-40-42-,-1-6-,15,28,42,37,40,1,6
2018-10-19,-1-3-29-47-48-,-3-12-,1,3,47,29,48,12,3
2018-10-23,-1-2-5-21-32-,-2-12-,32,2,1,5,21,12,2
2018-10-26,-5-18-21-31-35-,-6-9-,5,31,18,21,35,6,9
2018-10-30,-17-23-27-43-44-,-1-12-,44,27,23,17,43,1,12
2018-11-02,-5-15-17-37-44-,-7-11-,15,37,5,17,44,11,7
2018-11-06,-14-24-36-40-43-,-2-9-,14,36,24,43,40,2,9
2018-11-09,-14-17-32-37-49-,-11-12-,49,17,37,32,14,11,12
2018-11-13,-2-7-10-13-42-,-3-6-,10,7,13,2,42,6,3
